species_searched,species,longitude,latitude,source,date,key
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1984,MHNCI 5080
Chrysocyon brachyurus,Chrysocyon brachyurus,-46.941898,-22.371901,specieslink,1900,18505
Chrysocyon brachyurus,Chrysocyon brachyurus,-49.8167,-21.483299,specieslink,1989,17125
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.299999,-20.200001,specieslink,2003,17131
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.650002,-20.1,specieslink,2003,17133
Chrysocyon brachyurus,Chrysocyon brachyurus,-49.349998,-21.35,specieslink,2003,17138
Chrysocyon brachyurus,Chrysocyon brachyurus,-49.200001,-20.5333,specieslink,2003,17149
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.400002,-21.049999,specieslink,2002,17178
Chrysocyon brachyurus,Chrysocyon brachyurus,-48.016701,-22.1,specieslink,2002,17211
Chrysocyon brachyurus,Chrysocyon brachyurus,-51.099998,-20.983299,specieslink,1990,17249
Chrysocyon brachyurus,Chrysocyon brachyurus,-49.016701,-22.6,specieslink,2003,17253
Chrysocyon brachyurus,Chrysocyon brachyurus,-49.216701,-20.4167,specieslink,2003,17257
Chrysocyon brachyurus,Chrysocyon brachyurus,-46.0667,-23,specieslink,2002,17258
Chrysocyon brachyurus,Chrysocyon brachyurus,-48.916699,-22.5,specieslink,2003,17263
Chrysocyon brachyurus,Chrysocyon brachyurus,-48.233299,-22.25,specieslink,1999,17304
Chrysocyon brachyurus,Chrysocyon brachyurus,-48.5667,-22.016701,specieslink,2001,17277
Chrysocyon brachyurus,Chrysocyon brachyurus,-48.1833,-22.65,specieslink,2002,17282
Chrysocyon brachyurus,Chrysocyon brachyurus,-46.733299,-21.6,specieslink,1992,17290
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.666699,-23.4,specieslink,1998,17299
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.2410293038,-23.2742855016,specieslink,2017,22563
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.4655355238,-23.1399566907,specieslink,2017,22588
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.13181,-23.220575,specieslink,2017,22596
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.799999,-21.5833,specieslink,1993,877
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.840801,-22.412701,specieslink,2003,10453
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.616699,-20.883301,specieslink,1950,17324
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.4258,-21.996099,specieslink,1900,18580
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.333301,-21.016701,specieslink,2002,17177
Chrysocyon brachyurus,Chrysocyon brachyurus,-49.783299,-21.5,specieslink,1989,17126
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.283299,-20.2167,specieslink,2003,17130
Chrysocyon brachyurus,Chrysocyon brachyurus,-49.383301,-21.383301,specieslink,2003,17137
Chrysocyon brachyurus,Chrysocyon brachyurus,-49.283299,-21.5,specieslink,2003,17141
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.5667,-20.133301,specieslink,2003,17143
Chrysocyon brachyurus,Chrysocyon brachyurus,-48.133301,-22.049999,specieslink,2002,17210
Chrysocyon brachyurus,Chrysocyon brachyurus,-48.200001,-22.116699,specieslink,2002,17212
Chrysocyon brachyurus,Chrysocyon brachyurus,-51.099998,-20.8167,specieslink,1990,17250
Chrysocyon brachyurus,Chrysocyon brachyurus,-48.966701,-22.3167,specieslink,2003,17256
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.866699,-21.700001,specieslink,1991,17273
Chrysocyon brachyurus,Chrysocyon brachyurus,-48.5,-21.5833,specieslink,1997,17294
Chrysocyon brachyurus,Chrysocyon brachyurus,-49.200001,-24.233299,specieslink,2003,17298
Chrysocyon brachyurus,Chrysocyon brachyurus,-48.462766,-23.344612,specieslink,2008,21053
Chrysocyon brachyurus,Chrysocyon brachyurus,-48.462766,-23.344612,specieslink,2010,21056
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.1820523605,-23.1023282925,specieslink,2017,22564
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.6474214642,-23.310955143,specieslink,2017,22568
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.4517088221,-23.3155615301,specieslink,2017,22585
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.4296634032,-23.1812402369,specieslink,2017,22590
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.732956131,-23.4763060253,specieslink,2017,22594
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.7777081944,-23.506853163,specieslink,2017,22595
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.33298,-23.336155,specieslink,2017,22598
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1940,USNM 270371
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,NA,USNM 256384
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1935,USNM 261023
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,2000,437
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,NA,485
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1983,40
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,2002,457
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1999,420
Chrysocyon brachyurus,Chrysocyon brachyurus,-48.099722222222,-21.72,specieslink,1992,1489
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.81,-21.170277777778,specieslink,1989,1534
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1988,1535
Chrysocyon brachyurus,Chrysocyon brachyurus,-46.609444444444,-20.719166666667,specieslink,1995,1832
Chrysocyon brachyurus,Chrysocyon brachyurus,-46.33,-23.96,specieslink,NA,2376
