id,species_searched,species,longitude,latitude,source,date,key,temporal_filter,precision_filter,.val,.equ,.zer,.cap,.cen,.sea,.urb,.gbf,.inst,.dpl,.summary
43,Chrysocyon brachyurus,Chrysocyon brachyurus,-52.303556,-14.805611,specieslink,2014,CM770,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
44,Chrysocyon brachyurus,Chrysocyon brachyurus,-44.9352989196777,-19.2243995666504,specieslink,1989,MCN-M 1883,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
45,Chrysocyon brachyurus,Chrysocyon brachyurus,-49.8167,-21.483299,specieslink,1989,17125,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
46,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.299999,-20.200001,specieslink,2003,17131,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
47,Chrysocyon brachyurus,Chrysocyon brachyurus,-49.200001,-20.5333,specieslink,2003,17149,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
48,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.400002,-21.049999,specieslink,2002,17178,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
49,Chrysocyon brachyurus,Chrysocyon brachyurus,-51.099998,-20.983299,specieslink,1990,17249,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
50,Chrysocyon brachyurus,Chrysocyon brachyurus,-49.216701,-20.4167,specieslink,2003,17257,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
51,Chrysocyon brachyurus,Chrysocyon brachyurus,-48.5667,-22.016701,specieslink,2001,17277,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
52,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.2410293038,-23.2742855016,specieslink,2017,22563,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
53,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.4655355238,-23.1399566907,specieslink,2017,22588,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
54,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.13181,-23.220575,specieslink,2017,22596,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
55,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.799999,-21.5833,specieslink,1993,877,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
56,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.840801,-22.412701,specieslink,2003,10453,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
57,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.333301,-21.016701,specieslink,2002,17177,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
58,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.283299,-20.2167,specieslink,2003,17130,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
59,Chrysocyon brachyurus,Chrysocyon brachyurus,-49.383301,-21.383301,specieslink,2003,17137,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
60,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.5667,-20.133301,specieslink,2003,17143,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
61,Chrysocyon brachyurus,Chrysocyon brachyurus,-48.133301,-22.049999,specieslink,2002,17210,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
62,Chrysocyon brachyurus,Chrysocyon brachyurus,-48.200001,-22.116699,specieslink,2002,17212,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
